SA1_7DIG16,SA1_MAIN16,SA1_pop,SA1_irsdscore
1102803,10201102803,617,1070
1102804,10201102804,241,1065
1102805,10201102805,327,1069
1102806,10201102806,532,1025
1102807,10201102807,426,1082
1102808,10201102808,397,1116
1102809,10201102809,638,1102
1102810,10201102810,483,1075
1102811,10201102811,435,1059
1102812,10201102812,423,1076
1102813,10201102813,342,1033
1102814,10201102814,409,1053
1102815,10201102815,390,1077
1102816,10201102816,250,1112
1102817,10201102817,388,1115
1102818,10201102818,419,1100
1102901,10201102901,309,1096
1102902,10201102902,301,1062
1102903,10201102903,445,1032
1102904,10201102904,525,1020
1102905,10201102905,396,1061
1102906,10201102906,222,1106
1102907,10201102907,305,1052
1102908,10201102908,383,1062
1102909,10201102909,368,1085
1102910,10201102910,482,1033
1102911,10201102911,473,1054
1102912,10201102912,429,1089
1102913,10201102913,319,1110
1102914,10201102914,288,1099
1102915,10201102915,512,1097
1102916,10201102916,389,1054
1102917,10201102917,245,1104
1102918,10201102918,380,1060
1102919,10201102919,372,968
1102922,10201102922,531,1088
1102923,10201102923,372,1052
1102924,10201102924,501,1108
1102925,10201102925,554,999
1102926,10201102926,309,1075
1102927,10201102927,577,1079
1102928,10201102928,684,900
1103002,10201103002,591,1063
1103003,10201103003,251,1026
1103004,10201103004,377,1017
1103005,10201103005,264,1047
1103006,10201103006,384,1055
1103007,10201103007,391,1052
1103008,10201103008,221,1049
1103009,10201103009,371,986
1103010,10201103010,408,979
1103011,10201103011,592,955
1103012,10201103012,392,1067
1103014,10201103014,445,1065
1103101,10201103101,337,1111
1103102,10201103102,309,1055
1103103,10201103103,370,955
1103104,10201103104,478,843
1103105,10201103105,476,1040
1103106,10201103106,248,948
1103108,10201103108,254,1091
1103109,10201103109,248,1095
1103110,10201103110,464,1019
1103111,10201103111,353,1033
1103112,10201103112,159,1141
1103113,10201103113,461,1128
1103114,10201103114,470,1110
1103115,10201103115,517,1123
1103116,10201103116,496,1091
1103117,10201103117,348,1063
1103118,10201103118,366,1127
1103119,10201103119,421,1098
1103120,10201103120,389,1075
1103121,10201103121,289,1062
1103122,10201103122,401,1037
1103123,10201103123,385,878
1103124,10201103124,327,1068
1103125,10201103125,249,989
1103126,10201103126,400,756
1103127,10201103127,351,1037
1103128,10201103128,406,1024
1103129,10201103129,544,1089
1103130,10201103130,313,1066
1103131,10201103131,673,885
1103133,10201103133,396,1085
1103134,10201103134,424,1042
1103135,10201103135,407,1065
1103136,10201103136,401,999
1103137,10201103137,222,729
1103138,10201103138,543,1028
1103201,10201103201,401,1015
1103202,10201103202,484,850
1103203,10201103203,717,1069
1103204,10201103204,687,908
1103205,10201103205,242,918
1103206,10201103206,66,899
1103207,10201103207,300,1048
1103208,10201103208,445,970
1103210,10201103210,171,867
1103211,10201103211,577,980
1103212,10201103212,473,994
1103213,10201103213,90,1077
1103214,10201103214,604,1032
1103215,10201103215,209,989
1103216,10201103216,324,1038
1103217,10201103217,160,1006
1103218,10201103218,444,1074
1103219,10201103219,363,1051
1103220,10201103220,349,1040
1103221,10201103221,283,989
1103224,10201103224,462,963
1103225,10201103225,231,1057
1103226,10201103226,234,942
1103227,10201103227,563,765
1103228,10201103228,693,905
1103229,10201103229,447,936
1103230,10201103230,519,938
1103231,10201103231,496,977
1103232,10201103232,464,955
1103233,10201103233,356,1061
1103234,10201103234,747,1050
1103235,10201103235,370,904
1103236,10201103236,461,872
1103237,10201103237,327,955
1103238,10201103238,356,1112
1103239,10201103239,595,1030
1103240,10201103240,377,908
1103241,10201103241,423,965
1103242,10201103242,627,894
1103243,10201103243,521,1086
1103244,10201103244,648,916
1103245,10201103245,324,954
1103246,10201103246,340,1085
1103247,10201103247,411,1118
1103248,10201103248,390,951
1103301,10201103301,222,1067
1103302,10201103302,494,1011
1103303,10201103303,391,1034
1103304,10201103304,334,1057
1103305,10201103305,305,1060
1103306,10201103306,266,1047
1103307,10201103307,206,985
1103308,10201103308,414,1036
1103310,10201103310,328,1052
1103311,10201103311,379,1039
1103312,10201103312,319,1070
1103313,10201103313,302,1061
1103314,10201103314,356,1032
1103315,10201103315,772,1055
1103317,10201103317,524,1015
1103318,10201103318,204,1026
1103319,10201103319,364,1031
1103401,10201103401,407,984
1103402,10201103402,318,1000
1103403,10201103403,606,970
1103404,10201103404,273,1001
1103405,10201103405,400,980
1103406,10201103406,160,972
1103407,10201103407,295,1113
1103408,10201103408,328,1057
1103409,10201103409,323,1053
1103410,10201103410,396,992
1103411,10201103411,488,1073
1103412,10201103412,533,992
1103413,10201103413,369,1100
1103414,10201103414,423,933
1103415,10201103415,194,934
1103416,10201103416,416,1008
1103417,10201103417,413,953
1103418,10201103418,667,856
1103419,10201103419,312,1039
1103501,10201103501,632,1058
1103502,10201103502,314,921
1103503,10201103503,507,1048
1103504,10201103504,458,1028
1103505,10201103505,434,1073
1103506,10201103506,567,1075
1103507,10201103507,317,964
1103508,10201103508,473,1100
1103509,10201103509,345,1026
1103510,10201103510,467,1018
1103511,10201103511,517,1063
1103512,10201103512,315,975
1103513,10201103513,315,1036
1103514,10201103514,382,973
1103515,10201103515,280,919
1103516,10201103516,275,937
1103517,10201103517,46,1092
1103601,10201103601,223,1095
1103602,10201103602,232,1100
1103603,10201103603,516,1041
1103604,10201103604,279,1071
1103605,10201103605,409,1077
1103606,10201103606,296,1012
1103607,10201103607,208,1119
1103608,10201103608,516,1048
1103609,10201103609,376,1118
1103610,10201103610,538,971
1103611,10201103611,349,1021
1103612,10201103612,178,826
1103613,10201103613,375,1043
1103614,10201103614,524,1019
1103615,10201103615,253,1013
1103616,10201103616,313,1072
1103617,10201103617,360,1088
1103618,10201103618,258,1103
1103619,10201103619,492,1004
1103620,10201103620,499,956
1103621,10201103621,555,1081
1103622,10201103622,276,1047
1103701,10201103701,654,1016
1103702,10201103702,508,1061
1103703,10201103703,670,1029
1103704,10201103704,232,1030
1103705,10201103705,473,1052
1103706,10201103706,379,1030
1103707,10201103707,488,1068
1103708,10201103708,234,1054
1103709,10201103709,635,1055
1103710,10201103710,380,1082
1103711,10201103711,322,995
1103712,10201103712,283,1035
1103713,10201103713,517,970
1103714,10201103714,442,1040
1103801,10201103801,452,1097
1103802,10201103802,508,1066
1103803,10201103803,373,1013
1103804,10201103804,505,990
1103805,10201103805,276,1079
1103806,10201103806,274,980
1103807,10201103807,427,1016
1103808,10201103808,288,979
1103809,10201103809,551,1050
1103810,10201103810,331,1094
1103811,10201103811,483,1054
1103812,10201103812,355,1088
1103813,10201103813,541,1061
1103814,10201103814,497,1051
1103815,10201103815,329,1081
1103816,10201103816,434,1055
1103817,10201103817,339,1030
1103901,10201103901,654,1104
1103902,10201103902,394,1089
1103903,10201103903,319,1055
1103904,10201103904,572,1067
1103905,10201103905,420,1093
1103906,10201103906,464,1032
1103908,10201103908,440,1100
1103909,10201103909,590,1057
1103911,10201103911,591,1063
1103912,10201103912,559,1051
1103913,10201103913,609,1081
1103914,10201103914,350,1111
1103915,10201103915,484,1095
1103916,10201103916,485,1073
1103917,10201103917,365,1057
1103918,10201103918,539,1098
1103919,10201103919,407,962
1103920,10201103920,606,1059
1103921,10201103921,583,1089
1103922,10201103922,542,1107
1103923,10201103923,314,1101
